Gulf Location (3),State/TX divided,Bay,Latitude,Longitude,Tidal Zone,Havest or not,Havest Pressure,Height (mm),Length (mm),Width (mm),Volume (mL),Wet Tissue Weight (g),Wet Shell Weight (g),Wet Whole Weight (g),Fan (L/H) ratio,Cup (W/H) ratio,V/H ratio,Weight ratio (tissue/shell)
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,62,45,21,25,6,28.19,34.19,0.725806452,0.338709677,0.403225806,0.212841433
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,62,61,33,23,9.38,56.07,65.45,0.983870968,0.532258065,0.370967742,0.167290886
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,69,44,16,19.6,5.12,34.86,39.98,0.637681159,0.231884058,0.284057971,0.146873207
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,75,50,23,22.8,7.25,42.47,49.72,0.666666667,0.306666667,0.304,0.170708736
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,86,40,16,21,7.44,27.42,34.86,0.465116279,0.186046512,0.244186047,0.271334792
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,61,37,26,10.4,4.05,22.52,26.57,0.606557377,0.426229508,0.170491803,0.179840142
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,88,51,21,33.2,12,50.54,62.54,0.579545455,0.238636364,0.377272727,0.237435694
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,91,67,28,58.6,16.41,85.73,102.14,0.736263736,0.307692308,0.643956044,0.191414907
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,80,60,38,54.2,16.06,102.06,118.12,0.75,0.475,0.6775,0.157358417
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,89,62,28,53.2,13.36,98.62,111.98,0.696629213,0.314606742,0.597752809,0.135469479
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,97,53,39,75.2,15.47,135.24,150.71,0.546391753,0.402061856,0.775257732,0.114389234
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,74,53,29,41.2,12.25,58.43,70.68,0.716216216,0.391891892,0.556756757,0.209652576
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,57,56,24,25.6,5.56,47.6,53.16,0.98245614,0.421052632,0.449122807,0.116806723
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,51,30,11,7.8,2.13,8.14,10.27,0.588235294,0.215686275,0.152941176,0.261670762
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,48,29,14,8.6,2.32,8.68,11,0.604166667,0.291666667,0.179166667,0.267281106
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,33,42,17,11,5.52,41.3,46.82,1.272727273,0.515151515,0.333333333,0.133656174
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,54,42,28,25.6,2.98,10.42,13.4,0.777777778,0.518518519,0.474074074,0.285988484
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,43,33,23,9,2.79,13.57,16.36,0.76744186,0.534883721,0.209302326,0.20560059
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,53,35,19,9.6,3.81,11.19,15,0.660377358,0.358490566,0.181132075,0.340482574
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,46,33,13,7,1.93,12.13,14.06,0.717391304,0.282608696,0.152173913,0.159109646
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,42,39,18,9.4,2.45,11.74,14.19,0.928571429,0.428571429,0.223809524,0.208688245
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,57,49,23,16.4,5.12,26.97,32.09,0.859649123,0.403508772,0.287719298,0.189840564
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,57,35,16,7.4,2.88,12.43,15.31,0.614035088,0.280701754,0.129824561,0.231697506
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,55,48,23,27.2,7.16,38.02,45.18,0.872727273,0.418181818,0.494545455,0.188321936
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,55,55,15,17.2,6.03,21.06,27.09,1,0.272727273,0.312727273,0.286324786
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,86,57,24,34,11.82,44.78,56.6,0.662790698,0.279069767,0.395348837,0.263957124
Eastern,FL,Apalachicola,29.73633333,-84.92691667,Subtidal,No,None,89,48,22,33.6,10.64,47.98,58.62,0.539325843,0.247191011,0.37752809,0.221759066
